,similarityloss,time,roc
0,0.4758746,0.94947004,0.9510404205322265
1,0.38481212,0.95787,0.9650213623046875
2,0.30590823,0.956342,0.9639558410644531
3,0.376929,1.0234458,0.9646405029296876
4,0.45740744,0.857003,0.9720233154296876
5,0.42370778,0.8933828,0.9758410644531249
6,0.31613928,0.7618959,0.9735437011718749
7,0.28394496,1.207844,0.9601904296875
8,0.39843124,0.9694178,0.9405679321289062
9,0.3426789,0.890054,0.9720120239257812
10,0.31399018,1.0475609,0.9702122497558594
11,0.4518716,0.7825849,0.9666679382324219
12,0.51554865,1.078201,0.9640934753417968
13,0.45036328,1.0455937,0.967203826904297
14,0.31573606,0.9711869,0.9605632019042968
15,0.37631652,1.0296521,0.9722942352294923
16,0.45087922,0.9430201,0.9700211334228515
17,0.37605435,1.0202491,0.9662911987304688
18,0.40336472,0.9287131,0.9608467864990236
19,0.3785831,1.1486788,0.9730859374999999
20,0.2579585,1.286061,0.9681724548339844
21,0.31198287,1.1382947,0.969879608154297
22,0.27907032,0.95019794,0.9700601196289063
23,0.3257049,1.8016047,0.9635693359375
24,0.2629913,2.161598,0.969873046875
25,0.38445458,2.554903,0.954458465576172
26,0.2909365,1.8261592,0.9684397888183592
27,0.44504577,2.4529471,0.9677226257324218
28,0.394028,2.2081208,0.9563471984863281
29,0.41383865,2.424727,0.9696038818359376
30,0.28786772,2.051208,0.9557003784179688
31,0.35085356,1.5224359,0.9568713378906251
32,0.23387453,1.364742,0.9636892700195313
33,0.35302442,1.3532181,0.971976318359375
34,0.3798593,1.752358,0.9658541870117188
35,0.31203917,1.4671092,0.9643258666992187
36,0.2610233,1.402173,0.9652194213867187
37,0.44989586,1.3884208,0.9630523681640625
38,0.31328052,1.121948,0.9651860046386719
39,0.23229098,1.2566118,0.9639654541015625
40,0.29405865,1.377439,0.9643824768066406
41,0.3353578,1.437882,0.963065185546875
42,0.34803236,1.3679912,0.9708221435546874
43,0.34220308,1.1929631,0.9689161682128907
44,0.25771952,1.4062262,0.9735643005371093
45,0.38749224,1.590199,0.9625123596191406
46,0.24928904,1.414001,0.9639645385742187
47,0.3231731,2.206099,0.954451904296875
48,0.32235682,1.245389,0.958538818359375
49,0.4551911,1.5815461,0.9581771850585937
50,0.28464365,1.845094,0.9660841369628906
51,0.2886295,1.4088521,0.9508262634277345
52,0.23244877,1.3388879,0.9544944763183594
53,0.21746078,1.2296522,0.9650624084472658
54,0.22923188,1.3250461,0.9638923645019533
55,0.2895217,1.1943932,0.9625543212890624
56,0.36060983,2.040679,0.9590515136718749
57,0.15247017,1.5957439,0.9572395324707031
58,0.2794518,1.525583,0.9662316894531249
59,0.19094855,1.5845299,0.9647818756103516
60,0.2456697,1.3302808,0.9682432556152344
61,0.2538814,2.4569721,0.9655941772460939
62,0.33398888,1.61485,0.9599688720703126
63,0.2077072,1.6614399,0.9629067993164063
64,0.21734275,1.281245,0.9713706970214844
65,0.40002394,1.1120152,0.9618583679199219
66,0.3657006,1.3588762,0.9621217346191405
67,0.2526522,1.0986123,0.9536979675292968
68,0.26937622,1.309272,0.962661590576172
69,0.23401083,1.166152,0.96918701171875
70,0.17716834,1.2687309,0.9711262512207031
71,0.18144988,1.1579149,0.9707778930664064
72,0.37540078,1.2305958,0.9673455810546874
73,0.23468961,1.033634,0.9642298889160157
74,0.26999843,1.371264,0.9623280334472657
75,0.25221354,1.653995,0.9717953491210937
76,0.7005728,1.528285,0.970769805908203
77,0.2502437,0.9192362,0.9695652770996095
78,0.3345916,1.6170549,0.9798504638671874
79,0.34515947,1.2996321,0.9734519958496093
80,0.17411189,1.4281018,0.971424560546875
81,0.29241756,1.9024987,0.9763168334960938
82,0.32581735,2.370122,0.9685865783691407
83,0.3290335,2.039078,0.9700138854980469
84,0.15372463,1.544255,0.9765716552734375
85,0.22054702,1.372649,0.9723728942871094
86,0.24062008,1.407809,0.9721148681640625
87,0.36180153,1.378377,0.9798007202148438
88,0.2920565,1.4551189,0.9752908325195312
89,0.1656676,1.8154359,0.9741604614257813
90,0.2971998,0.9936662,0.9669140624999999
91,0.28914946,1.8436711,0.9692938232421874
92,0.32051557,1.7634041,0.9619041442871094
93,0.20735529,1.5302331,0.9689764404296874
94,0.20991638,1.2430909,0.9757354736328125
95,0.18884516,2.049412,0.9830758666992188
96,0.2480816,1.9672492,0.9754928588867187
97,0.26807368,1.3443391,0.9710401916503907
98,0.33501625,1.006182,0.9724147033691406
99,0.2419669,1.256386,0.9729016113281249
100,0.19938105,1.5998428,0.9688626098632811
101,0.19707885,2.0762098,0.9738494873046876
102,0.17800485,1.8748839,0.9794232177734375
103,0.18953544,1.652838,0.9866317749023438
104,0.11199433,1.3290229,0.975780029296875
105,0.3364395,1.205219,0.9773335266113282
106,0.19467705,1.1826949,0.9800679016113281
107,0.17605707,1.5146551,0.9716351318359375
108,0.20939231,1.4925878,0.9770509338378907
109,0.20872995,1.037245,0.9706002807617188
110,0.15540236,1.209789,0.9751734924316405
111,0.30384958,1.139451,0.9781825256347656
112,0.20424762,1.046252,0.9690498352050781
113,0.33132023,2.2891033,0.97258056640625
114,0.15474439,1.4179373,0.9856288146972656
115,0.48210958,1.190948,0.9786878967285156
116,0.24930784,1.5884562,0.9835751342773438
117,0.27876997,1.798368,0.98020751953125
118,0.19714373,1.9500911,0.97016357421875
119,0.13467324,1.2435269,0.9783222961425783
120,0.1817894,1.4224038,0.9794769287109375
121,0.15961346,1.331316,0.9813136291503907
122,0.1904008,1.24558,0.9802787780761719
